epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.03076923079788685,0.0021019834093749523,0.0,0.0,0.0,0.0,0.0,0.0
0,0.03076923079788685,0.002078005811199546,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.002197464695200324,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0022019941825419664,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.002200416987761855,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.002182150259613991,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.002199134323745966,0.0,0.0,0.0,0.0,0.0,0.0
0,0.031242603436112404,0.004309071693569422,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.00426447531208396,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.004275633487850428,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.004151121713221073,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.004209307488054037,0.0,0.0,0.0,0.0,0.0,0.0
